song_id,entry_date,exit_date,peak_position,days_on_playlist,peak_date,is_explicit,album_type,entry_to_peak_days,lifetime_days
die with a smile_lady gaga & bruno mars,2025-08-31,2025-11-23,29,48,2025-11-15,False,single,76,85
diluvio_rauw alejandro,2024-10-21,2025-10-14,3,187,2024-11-16,True,album,26,359
dinero y fama (feat. omar montes)_myke towers,2025-08-24,2025-08-24,40,1,2025-08-24,True,album,0,1
dios #1_cruz cafuné,2024-05-28,2024-05-28,43,1,2024-05-28,True,album,0,1
do it 4 th€ gram_cruz cafuné,2025-07-21,2025-07-21,34,1,2025-07-21,True,single,0,1
doblexxó_j balvin,2025-08-10,2025-08-23,33,12,2025-08-10,True,album,0,14
don't lie_duki,2024-06-25,2024-06-29,44,5,2024-06-28,False,album,3,5
donde se aprende a querer?_mora,2024-08-30,2025-02-17,3,152,2024-08-30,False,album,0,172
dubai_trueno & beny jr,2024-06-15,2024-06-22,47,8,2024-06-17,False,single,2,8
duro de verdad pt.2_los sufridos,2025-09-20,2025-09-20,39,1,2025-09-20,False,single,0,1
duro de verdad pt.2_los sufridos & bad gyal,2025-09-21,2025-11-27,1,68,2025-09-27,False,single,6,68
duro_quevedo,2025-11-02,2025-11-27,1,26,2025-11-02,False,single,0,26
déjame entrar_rauw alejandro,2025-07-25,2025-11-23,17,9,2025-11-17,True,single,115,122
el chacal_mora,2024-08-30,2024-09-02,10,4,2024-08-30,True,album,0,4
el cielo_sky rompiendo & feid & myke towers,2024-06-04,2025-03-09,2,270,2024-06-10,True,single,6,279
el condenao_lola indigo,2024-12-17,2025-01-04,35,12,2024-12-22,False,album,5,19
el conjuntito_el bobe & omar montes,2025-03-24,2025-09-23,1,180,2025-04-09,False,single,16,184
el destello_juanjo bona & martin urrutia,2025-10-06,2025-10-06,36,1,2025-10-06,False,single,0,1
el estribillo_quevedo,2025-11-24,2025-11-27,16,4,2025-11-24,False,album,0,4
el fin del mundo_la la love you,2025-06-03,2025-11-23,37,98,2025-08-25,False,album,83,174
el jefe_shakira & fuerza regida,2024-09-24,2024-10-03,31,10,2024-09-27,True,single,3,10
el malo_eladio carrion,2025-01-21,2025-02-17,20,27,2025-01-25,False,album,4,28
el mambo_kiko rivera,2024-10-04,2025-02-28,2,144,2024-10-13,False,single,9,148
el merengue_marshmello,2024-11-04,2025-11-18,19,317,2024-11-05,False,album,1,380
el merengue_marshmello & manuel turizo,2024-05-18,2024-11-03,5,170,2024-05-18,False,single,0,170
el pantalon - rumbas_omar montes,2025-06-02,2025-09-12,2,101,2025-06-16,False,album,14,103
el patio_pepe y vizio & delaossa & kiddo,2025-02-22,2025-08-27,8,151,2025-03-07,False,single,13,187
el tonto_lola indigo,2024-05-18,2025-01-10,2,205,2024-05-18,False,album,0,238
ella baila sola_eslabon armado,2024-05-18,2024-08-09,9,84,2024-06-03,False,album,16,84
empelotica_lenny tavárez & feid,2025-02-25,2025-04-06,16,35,2025-03-03,True,single,6,41
emrata_myke towers,2024-11-25,2024-11-25,46,1,2024-11-25,True,album,0,1
en to lao_haze & jhayco,2024-06-15,2024-07-01,45,11,2024-07-01,True,single,16,17
enamórate_nicki nicole & bad gyal,2024-11-16,2024-12-01,31,15,2024-11-18,False,single,2,16
eroticaaaaaaa_gonzy,2025-10-13,2025-10-31,38,15,2025-10-25,True,album,12,19
es un secreto_plan b,2025-06-22,2025-07-04,37,13,2025-06-30,False,album,8,13
escriurem_chiara oliver & martin urrutia,2025-01-25,2025-01-25,47,1,2025-01-25,False,single,0,1
eskeleto_saiko,2025-04-28,2025-10-23,11,113,2025-05-02,True,album,4,179
espectacular_sky rompiendo & rauw alejandro,2025-04-25,2025-04-27,49,2,2025-04-25,False,single,0,3
espresso martini_rauw alejandro,2025-11-17,2025-11-21,21,5,2025-11-17,True,album,0,5
espresso_sabrina carpenter,2025-06-09,2025-07-03,39,24,2025-06-28,True,single,19,25
europapa_joost,2025-05-14,2025-05-18,33,5,2025-05-15,False,single,1,5
eva longoria_ozuna,2024-08-12,2024-11-24,8,90,2024-08-29,False,album,17,105
extasisssssss_saiko,2024-12-20,2025-01-31,18,43,2024-12-22,False,single,2,43
falsos recuerdos_abraham mateo & omar montes,2025-02-01,2025-02-25,32,24,2025-02-08,False,single,7,25
fantasías_mora,2024-08-30,2024-09-04,9,6,2024-08-30,True,album,0,6
fardos_jc reyes & de la ghetto,2025-02-18,2025-07-30,1,159,2025-02-22,False,single,4,163
fecha - intro extended_renzo pianciola,2025-04-19,2025-04-20,46,2,2025-04-20,False,single,1,2
fecha_feid & yandel,2025-04-14,2025-04-18,39,5,2025-04-17,True,single,3,5
feliz navidad_josé feliciano,2024-12-25,2024-12-27,5,3,2024-12-25,False,album,0,3
feliz navidad_saiko,2024-12-19,2024-12-20,36,2,2024-12-19,False,single,0,2
ferxxo 151_feid,2024-09-30,2024-11-06,17,20,2024-09-30,False,album,0,38
ferxxo 151_feid & icon,2024-08-26,2024-09-29,9,35,2024-08-26,False,single,0,35
ferxxo 30_feid,2024-10-07,2024-10-13,32,2,2024-10-07,False,album,0,7
ferxxo edition_feid,2024-09-30,2024-10-01,43,2,2024-09-30,False,album,0,2
figo_dellafuente & morad,2024-12-02,2024-12-02,44,1,2024-12-02,False,single,0,1
fina_bad bunny,2024-10-14,2024-11-18,4,36,2024-10-14,True,album,0,36
finales de agosto_saiko,2025-04-28,2025-04-29,40,2,2025-04-28,False,album,0,2
flow violento - remix_yosoyplex & ruven,2024-05-30,2024-06-20,46,8,2024-06-06,True,single,7,22
flowers_miley cyrus,2024-05-18,2024-06-06,44,18,2024-05-19,False,album,1,20
"flowhot (feat. arcángel, de la ghetto, randy)_the academy: segunda misión & sech & dalex",2025-03-31,2025-03-31,32,1,2025-03-31,True,album,0,1
fortnight (feat. post malone)_taylor swift,2025-04-21,2025-04-30,24,9,2025-04-24,False,album,3,10
fosforito_dellafuente,2025-06-16,2025-06-16,46,1,2025-06-16,False,album,0,1
friki_gonzy,2025-05-10,2025-11-26,8,198,2025-06-26,True,single,47,201
fruto_bizarrap & milo j,2024-10-07,2024-11-11,12,36,2024-10-12,False,single,5,36
frío_myke towers,2025-08-24,2025-08-24,36,1,2025-08-24,True,album,0,1
"fé, cojones y paciencia_eladio carrion",2025-01-21,2025-01-21,38,1,2025-01-21,True,album,0,1
